"Label (Grouping)","Census Tract 401; Kent County; Delaware!!Estimate","Census Tract 401; Kent County; Delaware!!Margin of Error"
"Total:","2,536","±211"
"    Households with one or more people 65 years and over:","747","±143"
"        1-person household","150","±87"
"        2-or-more-person household:","597","±147"
"            Family households","535","±138"
"            Nonfamily households","62","±60"
"    Households with no people 65 years and over:","1,789","±224"
"        1-person households","269","±148"
"        2-or-more-person household:","1,520","±265"
"            Family households","1,414","±186"
"            Nonfamily households","106","±158"
